competition_ID,season,name,category,country,start_date,end_date,weapon,gender,timezone,url,unique_ID,missing_results_flag
125,2018,Coupe du Monde,Senior,MEXICO,13/10/2017,14/10/2017,Foil,Womens,America/Cancun,https://fie.org/competitions/2018/125,2018-125,
225,2019,Championnats du monde juniors-cadets,Junior,POLAND,09/04/2019,09/04/2019,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2019/225,2019-225,
740,2016,Championnats d'Europe,Senior,POLAND,21/06/2016,21/06/2016,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2016/740,2016-740,
37,2015,Memorial de Martinengo,Junior,SLOVAKIA,21/11/2014,21/11/2014,Foil,Womens,Europe/Bratislava,https://fie.org/competitions/2015/37,2015-37,
1105,2017,Championnats du monde vétérans 50-59,Veterans,SLOVENIA,18/10/2017,18/10/2017,Foil,Womens,Europe/Ljubljana,https://fie.org/competitions/2017/1105,2017-1105,
127,2015,The Artus Court PKO BP,Senior,POLAND,16/01/2015,17/01/2015,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2015/127,2015-127,
857,2020,Championnats d'Afrique juniors,Junior,GHANA,26/02/2020,26/02/2020,Foil,Womens,Africa/Porto-Novo,https://fie.org/competitions/2020/857,2020-857,
129,2017,The Artus Court PKO BP,Senior,POLAND,03/02/2017,04/02/2017,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2017/129,2017-129,
125,2019,Coupe du monde fleuret d'Alger by Ooredoo ,Senior,ALGERIA,23/11/2018,24/11/2018,Foil,Womens,Africa/Algiers,https://fie.org/competitions/2019/125,2019-125,
1281,2016,Trekanten International,Senior,DENMARK,08/05/2016,08/05/2016,Foil,Womens,Europe/Copenhagen,https://fie.org/competitions/2016/1281,2016-1281,
1281,2019,Tournoi Satellite,Senior,MEXICO,30/09/2018,30/09/2018,Foil,Womens,America/Cancun,https://fie.org/competitions/2019/1281,2019-1281,
35,2017,Coupe du Monde,Junior,ITALY,18/02/2017,18/02/2017,Foil,Womens,Europe/Rome,https://fie.org/competitions/2017/35,2017-35,
1281,2018,Tournoi Satellite,Senior,MEXICO,24/03/2018,25/03/2018,Foil,Womens,America/Mexico_City,https://fie.org/competitions/2018/1281,2018-1281,
397,2019,Tournoi satellite,Senior,NETHERLANDS,09/09/2018,09/09/2018,Foil,Womens,Europe/Amsterdam,https://fie.org/competitions/2019/397,2019-397,
1230,2016,Tournoi satellite,Senior,TURKEY,12/12/2015,13/12/2015,Foil,Womens,Europe/Istanbul,https://fie.org/competitions/2016/1230,2016-1230,
225,2015,Champ du monde juniors-cadets,Junior,UZBEKISTAN,05/04/2015,05/04/2015,Foil,Womens,Asia/Tashkent,https://fie.org/competitions/2015/225,2015-225,
129,2015,Coupe du Monde,Senior,ALGERIA,06/02/2015,07/02/2015,Foil,Womens,Africa/Algiers,https://fie.org/competitions/2015/129,2015-129,
121,2018,Absolute Fencing Gear® Grand Prix,Senior,USA,17/03/2018,18/03/2018,Foil,Womens,America/Los_Angeles,https://fie.org/competitions/2018/121,2018-121,
1105,2015,Championnats du monde vétérans 50-59,Veterans,FRANCE,20/10/2015,25/10/2015,Foil,Womens,Europe/Paris,https://fie.org/competitions/2015/1105,2015-1105,
458,2019,Grand Prix,Senior,ITALY,08/02/2019,10/02/2019,Foil,Womens,Europe/Rome,https://fie.org/competitions/2019/458,2019-458,
1359,2016,Championnats du monde vétérans 60-69,Veterans,GERMANY,14/10/2016,14/10/2016,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2016/1359,2016-1359,
37,2017,Coupe du Monde,Junior,GUATEMALA,19/11/2016,19/11/2016,Foil,Womens,America/Guatemala,https://fie.org/competitions/2017/37,2017-37,
857,2015,Championnats d'Afrique cadets juniors,Junior,ALGERIA,01/03/2015,05/03/2015,Foil,Womens,Africa/Algiers,https://fie.org/competitions/2015/857,2015-857,
812,2017,Championnats Panaméricains Juniors,Junior,CUBA,02/03/2017,07/03/2017,Foil,Womens,America/Havana,https://fie.org/competitions/2017/812,2017-812,
1356,2018,Tournoi Satellite,Senior,ROMANIA,13/05/2018,13/05/2018,Foil,Womens,Europe/Bucharest,https://fie.org/competitions/2018/1356,2018-1356,
586,2019,Championnats d'Afrique,Senior,MALI,26/06/2019,26/06/2019,Foil,Womens,Africa/Bamako,https://fie.org/competitions/2019/586,2019-586,
